Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6754961,Islamic History: A Very Short Introduction,Adam J. Silverstein,"Silverstein, Adam J.",,"=""0199545723""","=""9780199545728""",0,3.28,"Oxford University Press, USA",Paperback,176,2010,2009,,2023/03/14,"to-read, from-friends, historia, owned, non-fiction","to-read (#2686), from-friends (#28), historia (#147), owned (#1260), non-fiction (#602)",to-read,,,,0,0
38470183,Lost Kingdom: A History of Russian Nationalism from Ivan the Great to Vladimir Putin,Serhii Plokhy,"Plokhy, Serhii",,"=""0141983132""","=""9780141983134""",0,4.04,Penguin,Paperback,398,2018,2017,,2023/03/14,"to-read, from-friends, historia, owned, non-fiction, rosja","to-read (#2685), from-friends (#24), historia (#146), owned (#1256), non-fiction (#599), rosja (#25)",to-read,,,,0,0
34218167,"Enemies and Neighbors: Arabs and Jews in Palestine and Israel, 1917-2017",Ian   Black,"Black, Ian",,"=""0802127037""","=""9780802127037""",0,4.07,"Atlantic Monthly Press/Grove Atlantic, Inc.",Hardcover,512,2017,2017,,2023/03/14,"to-read, from-friends, palestyna, non-fiction, owned","to-read (#2684), from-friends (#23), palestyna (#11), non-fiction (#598), owned (#1255)",to-read,,,,0,0
23453100,"The Good Gut: Taking Control of Your Weight, Your Mood, and Your Long-term Health",Justin Sonnenburg,"Sonnenburg, Justin","Erica Sonnenburg, Andrew Weil","=""1594206287""","=""9781594206283""",0,3.87,Penguin Press,Hardcover,320,2015,2015,,2023/03/14,"to-read, from-friends, owned, popularnonaukowe","to-read (#2683), from-friends (#19), owned (#1251), popularnonaukowe (#171)",to-read,,,,0,0
110391,"The Duke and I (Bridgertons, #1)",Julia Quinn,"Quinn, Julia",,"=""0380800829""","=""9780380800827""",0,3.81,Avon Books,Mass Market Paperback,384,2006,2000,,2023/03/14,"to-read, from-friends, fiction, owned","to-read (#2682), from-friends (#16), fiction (#295), owned (#1248)",to-read,,,,0,0
1139231,Boys Adrift: The Five Factors Driving the Growing Epidemic of Unmotivated Boys and Underachieving Young Men,Leonard Sax,"Sax, Leonard",,"=""0465072097""","=""9780465072095""",0,4.17,Basic Books (AZ),Hardcover,267,2007,2005,,2023/02/07,"to-read, women-patriarchy, non-fiction, owned, from-friends","to-read (#2648), women-patriarchy (#220), non-fiction (#595), owned (#1241), from-friends (#12)",to-read,,,,0,0
60098290,Chokepoint Capitalism: How Big Tech and Big Content Captured Creative Labor Markets and How We'll Win Them Back,Rebecca Giblin,"Giblin, Rebecca",Cory Doctorow,"=""0807007064""","=""9780807007068""",0,4.33,Beacon Press,Hardcover,312,2022,2022,,2023/02/23,"to-read, business-economy-capitalism, non-fiction, owned, from-friends","to-read (#2667), business-economy-capitalism (#49), non-fiction (#587), owned (#1245), from-friends (#13)",to-read,,,,0,0
52098718,Why We're Polarized,Ezra Klein,"Klein, Ezra",,"=""147670032X""","=""9781476700328""",0,4.24,Avid Reader Press / Simon  Schuster,Hardcover,336,2020,2020,,2022/12/09,"to-read, haule-kasi-gandor, publicystyka, non-fiction, owned, from-friends","to-read (#2609), haule-kasi-gandor (#62), publicystyka (#85), non-fiction (#570), owned (#1243), from-friends (#8)",to-read,,,,0,0
27873727,Stranger Than We Can Imagine: An Alternative History of the 20th Century,John Higgs,"Higgs, John",J.M.R. Higgs,"=""""","=""""",0,4.24,Signal,Kindle Edition,352,2015,2015,,2022/12/19,"to-read, historia, non-fiction, owned, from-friends","to-read (#2621), historia (#144), non-fiction (#596), owned (#1242), from-friends (#10)",to-read,,,,0,0
60613920,"Of Boys and Men: Why the Modern Male Is Struggling, Why It Matters, and What to Do about It",Richard V. Reeves,"Reeves, Richard V.",,"=""1800750544""","=""9781800750548""",0,4.17,Swift Press,Hardcover,298,2022,2022,,2022/12/12,"to-read, non-fiction, women-patriarchy, owned, from-friends","to-read (#2612), non-fiction (#572), women-patriarchy (#210), owned (#1239), from-friends (#9)",to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.54,Simon & Schuster,ebook,320,2022,2022,,2022/10/21,"to-read, non-fiction, reportaże-biografie, owned, from-friends","to-read (#2567), non-fiction (#550), reportaże-biografie (#168), owned (#1240), from-friends (#7)",to-read,,,,0,0
21913812,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"Klein, Naomi",,"=""1451697384""","=""9781451697384""",0,4.16,Simon & Schuster,Hardcover,576,2014,2014,,2022/12/24,"to-read, ekologia, non-fiction, owned, from-friends","to-read (#2624), ekologia (#25), non-fiction (#577), owned (#1244), from-friends (#11)",to-read,,,,0,0
57190201,Tyrania merytokracji,Sandel Michael J.,"J., Sandel Michael",,"=""8301213833""","=""9788301213831""",0,4.82,,Paperback,,2020,,,2023/03/14,"to-read, filozofia-eseistyka-socjologia","to-read (#2681), filozofia-eseistyka-socjologia (#30)",to-read,,,,0,0
60209478,A Billion Years: My Escape From a Life in the Highest Ranks of Scientology,Mike Rinder,"Rinder, Mike",,"=""1982185767""","=""9781982185763""",0,4.39,Gallery Books,Hardcover,336,2022,2022,,2023/03/13,"to-read, non-fiction, reportaże-biografie","to-read (#2680), non-fiction (#597), reportaże-biografie (#179)",to-read,,,,0,0
60548527,Powrót do Uluru,Mark   McKenna,"McKenna, Mark",Tomasz S. Gałązka,"=""8396340293""","=""9788396340290""",0,4.01,ArtRage,Paperback,280,2022,2021,,2022/10/11,"artrage-bookrage, fiction, kryminaly, owned, currently-reading","artrage-bookrage (#440), fiction (#268), kryminaly (#54), owned (#1185), currently-reading (#20)",currently-reading,,,,1,0
82476380,Maxima Culpa. Jan Paweł II wiedział,Ekke Overbeek,"Overbeek, Ekke",,"=""8326841080""","=""9788326841088""",0,4.88,Agora S.A.,Paperback,504,2023,2023,,2023/03/08,"to-read, non-fiction, owned, publicystyka, publio, reportaże-biografie","to-read (#2679), non-fiction (#594), owned (#1238), publicystyka (#88), publio (#83), reportaże-biografie (#178)",to-read,,,,0,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",0,4.47,Scribner,Hardcover,400,2016,2016,,2021/06/10,"to-read, business-economy-capitalism, non-fiction, owned, virtualo","to-read (#1884), business-economy-capitalism (#15), non-fiction (#107), owned (#1237), virtualo (#72)",to-read,,,,0,0
75483993,Wioska wdów. Szokująca historia morderczyń z wioski Nagyrév,Patti McCracken,"McCracken, Patti",Urszula Gardner,"=""""","=""9788383211916""",0,3.76,Mova,Hardcover,472,2023,2023,,2023/03/05,"to-read, historia, non-fiction, women-patriarchy","to-read (#2678), historia (#143), non-fiction (#593), women-patriarchy (#229)",to-read,,,,0,0
1902398,Shoot the Women First,Eileen Macdonald,"Macdonald, Eileen",,"=""0679415963""","=""9780679415961""",0,3.73,Random House,Hardcover,241,1992,1992,,2023/03/04,"to-read, filozofia-eseistyka-socjologia, women-patriarchy","to-read (#2677), filozofia-eseistyka-socjologia (#29), women-patriarchy (#228)",to-read,,,,0,0
64405809,"The Big Con: How the Consulting Industry Weakens our Businesses, Infantilizes our Governments and Warps our Economies",Mariana Mazzucato,"Mazzucato, Mariana",Rosie Collington,"=""0593492676""","=""9780593492673""",0,3.81,Penguin Press,Hardcover,352,2023,2023,,2023/03/03,"to-read, business-economy","to-read (#2676), business-economy (#1)",to-read,,,,0,0
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Jashar Awan,"=""""","=""""",0,4.32,Alfred A. Knopf,Hardcover,477,2013,2013,,2023/03/01,"to-read, fiction","to-read (#2675), fiction (#294)",to-read,,,,0,0
38918234,Comedy Queen,Jenny Jägerfeld,"Jägerfeld, Jenny",,"=""""","=""9789129706406""",0,4.14,Rabén & Sjögren,Hardcover,219,2018,2018,,2023/03/01,"to-read, fiction, young-adult","to-read (#2674), fiction (#293), young-adult (#1)",to-read,,,,0,0
25422234,Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,"Carmon, Irin",Shana Knizhnik,"=""0062415832""","=""9780062415837""",0,4.19,Dey Street Books,Hardcover,240,2015,2015,,2022/03/04,"to-read, women-patriarchy, non-fiction, reportaże-biografie","to-read (#2216), women-patriarchy (#155), non-fiction (#592), reportaże-biografie (#177)",to-read,,,,0,0
64230028,Chwile wieczności,Kjersti Anfinnsen,"Anfinnsen, Kjersti",Karolina Drozdowska,"=""""","=""9788367515160""",0,4.06,Art Rage,Paperback,252,2023,,,2023/03/01,"to-read, fiction","to-read (#2673), fiction (#292)",to-read,,,,0,0
75276043,Kobiety i inne potwory. Tworzenie nowej mitologii,Jess Zimmerman,"Zimmerman, Jess",Hanna Pustuła-Lewicka,"=""8381916526""","=""9788381916523""",0,3.79,Czarne,Hardcover,,2023,2021,,2023/02/28,"to-read, non-fiction, women-patriarchy","to-read (#2672), non-fiction (#591), women-patriarchy (#227)",to-read,,,,0,0
44286534,You Look Like a Thing and I Love You: How Artificial Intelligence Works and Why It's Making the World a Weirder Place,Janelle Shane,"Shane, Janelle",,"=""0316525243""","=""9780316525244""",0,4.18,Voracious,Hardcover,272,2019,2019,,2023/02/07,"non-fiction, tech, amazon, owned, currently-reading","non-fiction (#583), tech (#19), amazon (#143), owned (#1232), currently-reading (#19)",currently-reading,,,,1,0
58814285,Pocztówka z Mokum. 21 opowieści o Holandii,Piotr Oczko,"Oczko, Piotr",,"=""8324044213""","=""9788324044214""",5,4.54,Znak,Hardcover,336,2021,2021,2023/02/27,2022/12/29,"non-fiction, owned, woblink, świat, 2023","non-fiction (#578), owned (#1227), woblink (#292), świat (#22), 2023 (#13)",read,"Autor jest takim erudyta gawedziarzem, czytalabym wszystko!",,,1,0
25563522,Children of Time (Children of Time #1),Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",0,4.30,Pan Books,Kindle Edition,609,2015,2015,,2020/02/08,"to-read, fiction, science-fiction-fantasy","to-read (#786), fiction (#291), science-fiction-fantasy (#79)",to-read,,,,0,0
59983210,Niespokojni ludzie,Fredrik Backman,"Backman, Fredrik",Agata Teperek,"=""8367157222""","=""9788367157223""",0,4.19,Marginesy,Hardcover,382,2022,2019,,2022/09/10,"haule-kasi-gandor, fiction, currently-reading, bookbeat","haule-kasi-gandor (#58), fiction (#246), currently-reading (#18), bookbeat (#10)",currently-reading,,,,1,0
